unnamed02,unnamed01,unnamed0,filename,diff,linearvotersfailure,gamma,mirror,candidates,level,partisan,type,irv1,irv2,condorcet1,plurality1,approval1irv2,condorcet2,plurality2,approval2,approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality,partisan2,State,Date,ElectionType
147,147,147,Minneapolis_11062009_Ward10CityCouncil.csv,[],no,0.94404334,,4,LOCAL,NO,R,Meg Tuthill,Meg Tuthill,Meg Tuthill,Meg Tuthill,,Meg Tuthill,Meg Tuthill,Meg Tuthill,Meg Tuthill,0.26626626,0.0,0.0,0.6513024,0.0,Minneapolis,11062009,Ward10CityCouncil
148,148,148,Minneapolis_11062009_Ward11CityCouncil.csv,[],no,0.9817363,,3,LOCAL,NO,R,John Quincy,John Quincy,John Quincy,John Quincy,,John Quincy,John Quincy,John Quincy,John Quincy,0.6876877,0.0,0.0,1.7405512,0.0,Minneapolis,11062009,Ward11CityCouncil
149,149,149,Minneapolis_11062009_Ward12CityCouncil.csv,[],no,0.93589473,,4,LOCAL,NO,R,Sandy Colvin Roy,Sandy Colvin Roy,Sandy Colvin Roy,Sandy Colvin Roy,,Sandy Colvin Roy,Sandy Colvin Roy,Sandy Colvin Roy,Sandy Colvin Roy,0.46746746,0.070818789,0.0,1.6382701,0.0,Minneapolis,11062009,Ward12CityCouncil
150,150,150,Minneapolis_11062009_Ward13CityCouncil.csv,[],no,0.96972233,,3,LOCAL,NO,R,Betsy Hodges,Betsy Hodges,Betsy Hodges,Betsy Hodges,,Betsy Hodges,Betsy Hodges,Betsy Hodges,Betsy Hodges,0.55755758,0.0,0.0,1.8156968,0.0,Minneapolis,11062009,Ward13CityCouncil
151,151,151,Minneapolis_11062009_Ward1CityCouncil.csv,[],no,0.88054436,,5,LOCAL,NO,R,Kevin Reich,Kevin Reich,Kevin Reich,Kevin Reich,,Kevin Reich,Kevin Reich,Kevin Reich,Kevin Reich,0.17717718,0.0,0.0,2.8725905,0.0,Minneapolis,11062009,Ward1CityCouncil
152,152,152,Minneapolis_11062009_Ward2CityCouncil.csv,[],no,1.0,,2,LOCAL,NO,R,Cam Gordon,Cam Gordon,Cam Gordon,Cam Gordon,,Cam Gordon,Cam Gordon,Cam Gordon,Cam Gordon,,0.0,0.0,,0.0,Minneapolis,11062009,Ward2CityCouncil
153,153,153,Minneapolis_11062009_Ward3CityCouncil.csv,[],no,0.97807217,,4,LOCAL,NO,R,Diane Hofstede,Diane Hofstede,Diane Hofstede,Diane Hofstede,,Diane Hofstede,Diane Hofstede,Diane Hofstede,Diane Hofstede,0.45245245,0.0,0.0,0.84957242,0.0,Minneapolis,11062009,Ward3CityCouncil
154,154,154,Minneapolis_11062009_Ward4CityCouncil.csv,[],no,0.89927185,,4,LOCAL,NO,R,Barbara A. Johnson,Barbara A. Johnson,Barbara A. Johnson,Barbara A. Johnson,,Barbara A. Johnson,Barbara A. Johnson,Barbara A. Johnson,Barbara A. Johnson,0.37337336,0.22730295,0.37703872,2.0345073,0.0,Minneapolis,11062009,Ward4CityCouncil
155,155,155,Minneapolis_11062009_Ward5CityCouncil.csv,[],no,0.88960737,,5,LOCAL,NO,R,Don Samuels,Don Samuels,Don Samuels,Don Samuels,,Don Samuels,Don Samuels,Don Samuels,Don Samuels,0.1941942,0.0,0.0,2.3099759,0.0,Minneapolis,11062009,Ward5CityCouncil
156,156,156,Minneapolis_11062009_Ward6CityCouncil.csv,[],no,0.85217839,,6,LOCAL,NO,R,Robert Lilligren,Robert Lilligren,Robert Lilligren,Robert Lilligren,,Robert Lilligren,Robert Lilligren,Robert Lilligren,Robert Lilligren,0.51851851,0.0,0.0,0.94214672,0.0,Minneapolis,11062009,Ward6CityCouncil
157,157,157,Minneapolis_11062009_Ward7CityCouncil.csv,[],no,0.93780011,,3,LOCAL,NO,R,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,0.98698699,0.0,0.0,1.233513,0.0,Minneapolis,11062009,Ward7CityCouncil
158,158,158,Minneapolis_11062009_Ward8CityCouncil.csv,[],no,0.87229228,,5,LOCAL,NO,R,Elizabeth Glidden,Elizabeth Glidden,Elizabeth Glidden,Elizabeth Glidden,,Elizabeth Glidden,Elizabeth Glidden,Elizabeth Glidden,Elizabeth Glidden,0.24424425,0.035545047,0.0,0.42021978,0.0,Minneapolis,11062009,Ward8CityCouncil
159,159,159,Minneapolis_11062009_Ward9CityCouncil.csv,[],no,0.95322418,,4,LOCAL,NO,R,Gary Schiff,Gary Schiff,Gary Schiff,Gary Schiff,,Gary Schiff,Gary Schiff,Gary Schiff,Gary Schiff,0.14214215,0.0,0.0,1.1004554,0.0,Minneapolis,11062009,Ward9CityCouncil
160,160,160,Minneapolis_11072017_Mayor.csv,[],no,0.784172,,18,LOCAL,NO,E,Jacob Frey,Jacob Frey,Jacob Frey,Jacob Frey,,Jacob Frey,Jacob Frey,Jacob Frey,Jacob Frey,0.26126125,1.21e-05,1.21e-05,0.10903573,0.0,Minneapolis,11072017,Mayor
161,161,161,Minneapolis_11072017_PRBoardDistrict1.csv,[],no,0.90780044,,3,LOCAL,NO,B,Chris Meyer,Chris Meyer,Chris Meyer,Chris Meyer,,Chris Meyer,Chris Meyer,Chris Meyer,Chris Meyer,0.4114114,0.0,0.0,3.3242671,0.0,Minneapolis,11072017,PRBoardDistrict1
162,162,162,Minneapolis_11072017_PRBoardDistrict2.csv,[],no,1.0,,2,LOCAL,NO,B,Kale Severson,Kale Severson,Kale Severson,Kale Severson,,Kale Severson,Kale Severson,Kale Severson,Kale Severson,0.993994,0.37632376,0.0,,0.0,Minneapolis,11072017,PRBoardDistrict2
163,163,163,Minneapolis_11072017_PRBoardDistrict3.csv,[],no,0.95242339,,3,LOCAL,NO,B,AK Hassan,AK Hassan,AK Hassan,AK Hassan,,AK Hassan,AK Hassan,AK Hassan,AK Hassan,0.41241241,0.0,0.0,3.447242,0.0,Minneapolis,11072017,PRBoardDistrict3
164,164,164,Minneapolis_11072017_PRBoardDistrict4.csv,[],no,1.0,,2,LOCAL,NO,B,Jono Cowgill,Jono Cowgill,Jono Cowgill,Jono Cowgill,,Jono Cowgill,Jono Cowgill,Tom Nordyke,Tom Nordyke,0.993994,0.48587224,0.0,,0.0,Minneapolis,11072017,PRBoardDistrict4
165,165,165,Minneapolis_11072017_PRBoardDistrict5.csv,[],no,0.93910891,,3,LOCAL,NO,B,Steffanie Musich,Steffanie Musich,Steffanie Musich,Steffanie Musich,,Steffanie Musich,Steffanie Musich,Steffanie Musich,Steffanie Musich,0.4944945,0.0,0.0,1.2640326,0.0,Minneapolis,11072017,PRBoardDistrict5
166,166,166,Minneapolis_11072017_PRBoardDistrict6.csv,"['IRV', 'Condorcet']",yes,0.93455511,,4,LOCAL,NO,B,Brad Bourn,Bob Fine,Brad Bourn,Brad Bourn,,Bob Fine,Brad Bourn,Bob Fine,Bob Fine,0.2982983,0.24000469,0.30255935,3.8074164,0.0,Minneapolis,11072017,PRBoardDistrict6
167,167,167,Minneapolis_11072017_Ward10CityCouncil.csv,[],no,0.85546619,,4,LOCAL,NO,R,Lisa Bender,Lisa Bender,Lisa Bender,Lisa Bender,,Lisa Bender,Lisa Bender,Lisa Bender,Lisa Bender,0.1881882,0.065930001,0.0,1.0067708,0.0,Minneapolis,11072017,Ward10CityCouncil
168,168,168,Minneapolis_11072017_Ward11CityCouncil.csv,[],no,0.86008322,,3,LOCAL,NO,R,Jeremy Schroeder,Jeremy Schroeder,Jeremy Schroeder,Jeremy Schroeder,,Jeremy Schroeder,Jeremy Schroeder,Jeremy Schroeder,Jeremy Schroeder,0.54254252,0.021172896,0.0,2.9194746,0.0,Minneapolis,11072017,Ward11CityCouncil
169,169,169,Minneapolis_11072017_Ward12CityCouncil.csv,[],no,0.89367986,,3,LOCAL,NO,R,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,0.52352351,0.0,0.0,0.40828848,0.0,Minneapolis,11072017,Ward12CityCouncil
170,170,170,Minneapolis_11072017_Ward13CityCouncil.csv,[],no,1.0,,2,LOCAL,NO,R,Linea Palmisano,Linea Palmisano,Linea Palmisano,Linea Palmisano,,Linea Palmisano,Linea Palmisano,Linea Palmisano,Linea Palmisano,0.997998,0.0,0.0,,0.0,Minneapolis,11072017,Ward13CityCouncil
171,171,171,Minneapolis_11072017_Ward1CityCouncil.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,0.93523616,,3,LOCAL,NO,R,Kevin Reich,Jillia Pessenda,Kevin Reich,Kevin Reich,,Jillia Pessenda,Jillia Pessenda,Jillia Pessenda,Kevin Reich,0.38538539,0.29441157,0.39356849,3.165405,0.0,Minneapolis,11072017,Ward1CityCouncil
172,172,172,Minneapolis_11072017_Ward3CityCouncil.csv,[],no,0.89175636,,4,LOCAL,NO,R,Steve Fletcher,Steve Fletcher,Steve Fletcher,Ginger Jentzen,,Steve Fletcher,Ginger Jentzen,Steve Fletcher,Steve Fletcher,0.6026026,0.13758096,0.0,3.3887103,0.0,Minneapolis,11072017,Ward3CityCouncil
173,173,173,Minneapolis_11072017_Ward4CityCouncil.csv,['Plurality'],no,0.89804071,,4,LOCAL,NO,R,Phillipe M. Cunningham,Phillipe M. Cunningham,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",,Phillipe M. Cunningham,Phillipe M. Cunningham,Phillipe M. Cunningham,Phillipe M. Cunningham,0.28328329,0.10448653,0.0,2.6738124,0.0,Minneapolis,11072017,Ward4CityCouncil
174,174,174,Minneapolis_11072017_Ward5CityCouncil.csv,[],no,0.88572109,,4,LOCAL,NO,R,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,0.36236235,0.10497554,0.0,3.4948864,0.0,Minneapolis,11072017,Ward5CityCouncil
175,175,175,Minneapolis_11072017_Ward6CityCouncil.csv,[],no,0.98849618,,4,LOCAL,NO,R,Abdi Warsame,Abdi Warsame,Abdi Warsame,Abdi Warsame,,Abdi Warsame,Abdi Warsame,Abdi Warsame,Abdi Warsame,0.24124125,0.11854698,0.0,3.9610932,0.0,Minneapolis,11072017,Ward6CityCouncil
176,176,176,Minneapolis_11072017_Ward7CityCouncil.csv,[],no,0.87976217,,4,LOCAL,NO,R,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,0.12012012,0.0,0.0,1.1230412,0.0,Minneapolis,11072017,Ward7CityCouncil
177,177,177,Minneapolis_11072017_Ward8CityCouncil.csv,[],no,0.8026883,,4,LOCAL,NO,R,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,0.987988,0.057940468,0.0,0.22858587,0.0,Minneapolis,11072017,Ward8CityCouncil
178,178,178,Minneapolis_11072017_Ward9CityCouncil.csv,['Approval'],no,0.82210928,,4,LOCAL,NO,R,Alondra Cano,Alondra Cano,Alondra Cano,Alondra Cano,,Alondra Cano,Alondra Cano,Mohamed Farah,Alondra Cano,0.24624625,0.18010294,0.25619152,2.1758301,0.0,Minneapolis,11072017,Ward9CityCouncil
179,179,179,Minnetonka_11022021_CityCouncilAtLargeSeatA.csv,[],no,0.92129415,,5,LOCAL,NO,R,Deb Calvert,Deb Calvert,Deb Calvert,Deb Calvert,,Deb Calvert,Deb Calvert,Deb Calvert,Deb Calvert,0.71671671,0.032001857,0.0,0.65708309,0.0,Minnetonka,11022021,CityCouncilAtLargeSeatA
180,180,180,Minnetonka_11022021_CityCouncilAtLargeSeatB.csv,[],no,0.91912633,,5,LOCAL,NO,R,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn,,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn,0.73673671,0.14871837,0.0,1.4217825,0.0,Minnetonka,11022021,CityCouncilAtLargeSeatB
181,181,181,Minnetonka_11022021_Mayor.csv,[],no,1.0,,2,LOCAL,NO,E,Brad Wiersum,Brad Wiersum,Brad Wiersum,Brad Wiersum,,Brad Wiersum,Brad Wiersum,Brad Wiersum,Brad Wiersum,0.996997,0.025932202,0.0,,0.0,Minnetonka,11022021,Mayor
182,182,182,NewYorkCity_06222021_CONCouncilMember19thCouncilDistrict.csv,[],no,1.0,,2,LOCAL,CP,R,John-Alexander Sakelos,John-Alexander Sakelos,John-Alexander Sakelos,John-Alexander Sakelos,,John-Alexander Sakelos,John-Alexander Sakelos,John-Alexander Sakelos,John-Alexander Sakelos,0.46146145,0.0,0.0,,,NewYorkCity,06222021,CONCouncilMember19thCouncilDistrict
183,183,183,NewYorkCity_06222021_DEMBoroughPresidentBronx.csv,[],no,0.66626626,,5,LOCAL,DP,E,Vanessa L. Gibson,Vanessa L. Gibson,Vanessa L. Gibson,Vanessa L. Gibson,,Vanessa L. Gibson,Vanessa L. Gibson,Vanessa L. Gibson,Vanessa L. Gibson,0.22622623,0.23106492,0.23106492,3.5838115,,NewYorkCity,06222021,DEMBoroughPresidentBronx
184,184,184,NewYorkCity_06222021_DEMBoroughPresidentKings.csv,[],no,0.68733287,,12,LOCAL,DP,E,Antonio Reynoso,Antonio Reynoso,Antonio Reynoso,Antonio Reynoso,,Antonio Reynoso,Antonio Reynoso,Antonio Reynoso,Antonio Reynoso,0.068068065,0.0,0.0,2.5053067,,NewYorkCity,06222021,DEMBoroughPresidentKings
185,185,185,NewYorkCity_06222021_DEMBoroughPresidentNewYork.csv,[],no,0.67725712,,7,LOCAL,DP,E,Mark D. Levine,Mark D. Levine,Mark D. Levine,Mark D. Levine,,Mark D. Levine,Mark D. Levine,Mark D. Levine,Mark D. Levine,0.090090089,0.0,0.0,3.2080369,,NewYorkCity,06222021,DEMBoroughPresidentNewYork
186,186,186,NewYorkCity_06222021_DEMBoroughPresidentQueens.csv,"['IRV', 'Condorcet', 'Plurality']",yes,0.92290205,,3,LOCAL,DP,E,Donovan J. Richards Jr.,Elizabeth S. Crowley,Donovan J. Richards Jr.,Donovan J. Richards Jr.,,Elizabeth S. Crowley,Elizabeth S. Crowley,Elizabeth S. Crowley,Elizabeth S. Crowley,0.43643644,0.42988339,0.44173881,3.6999958,,NewYorkCity,06222021,DEMBoroughPresidentQueens
187,187,187,NewYorkCity_06222021_DEMBoroughPresidentRichmond.csv,[],no,0.68507642,,5,LOCAL,DP,E,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,0.18518518,0.0,0.0,1.4831103,,NewYorkCity,06222021,DEMBoroughPresidentRichmond
188,188,188,NewYorkCity_06222021_DEMComptrollerCitywide.csv,[],no,0.66401404,,10,LOCAL,DP,O,Brad Lander,Brad Lander,Brad Lander,Brad Lander,,Brad Lander,Brad Lander,Corey D. Johnson,Corey D. Johnson,0.14414415,0.0,0.0,1.6381356,,NewYorkCity,06222021,DEMComptrollerCitywide
189,189,189,NewYorkCity_06222021_DEMCouncilMember10thCouncilDistrict.csv,[],no,0.69567877,,8,LOCAL,DP,R,Carmen N. De La Rosa,Carmen N. De La Rosa,Carmen N. De La Rosa,Carmen N. De La Rosa,,Carmen N. De La Rosa,Carmen N. De La Rosa,Carmen N. De La Rosa,Carmen N. De La Rosa,0.12112112,0.02312796,0.02312796,2.7797029,,NewYorkCity,06222021,DEMCouncilMember10thCouncilDistrict
190,190,190,NewYorkCity_06222021_DEMCouncilMember11thCouncilDistrict.csv,[],no,0.64479786,,7,LOCAL,DP,R,Eric Dinowitz,Eric Dinowitz,Eric Dinowitz,Eric Dinowitz,,Eric Dinowitz,Eric Dinowitz,Eric Dinowitz,Eric Dinowitz,0.085085087,0.0,0.0,1.8569193,,NewYorkCity,06222021,DEMCouncilMember11thCouncilDistrict
191,191,191,NewYorkCity_06222021_DEMCouncilMember12thCouncilDistrict.csv,['Approval'],no,0.85093135,,3,LOCAL,DP,R,Kevin Riley,Kevin Riley,Kevin Riley,Kevin Riley,,Kevin Riley,Kevin Riley,Pamela A. Hamilton-Johnson,Kevin Riley,0.52552551,0.37019914,0.52830935,2.299861,,NewYorkCity,06222021,DEMCouncilMember12thCouncilDistrict
192,192,192,NewYorkCity_06222021_DEMCouncilMember13thCouncilDistrict.csv,[],no,0.69551247,,5,LOCAL,DP,R,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,0.44444445,0.0,0.0,1.8701937,,NewYorkCity,06222021,DEMCouncilMember13thCouncilDistrict
193,193,193,NewYorkCity_06222021_DEMCouncilMember14thCouncilDistrict.csv,[],no,0.59940714,,6,LOCAL,DP,R,Pierina Ana Sanchez,Pierina Ana Sanchez,Pierina Ana Sanchez,Pierina Ana Sanchez,,Pierina Ana Sanchez,Pierina Ana Sanchez,Pierina Ana Sanchez,Pierina Ana Sanchez,0.13613613,0.0,0.0,2.3632915,,NewYorkCity,06222021,DEMCouncilMember14thCouncilDistrict
194,194,194,NewYorkCity_06222021_DEMCouncilMember15thCouncilDistrict.csv,[],no,0.64000487,,8,LOCAL,DP,R,Oswald Feliz,Oswald Feliz,Oswald Feliz,Oswald Feliz,,Oswald Feliz,Oswald Feliz,Oswald Feliz,Oswald Feliz,0.24824825,0.0,0.0,2.1673939,,NewYorkCity,06222021,DEMCouncilMember15thCouncilDistrict
195,195,195,NewYorkCity_06222021_DEMCouncilMember16thCouncilDistrict.csv,[],no,0.81974506,,4,LOCAL,DP,R,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,0.37037036,0.073436879,0.0,1.633158,,NewYorkCity,06222021,DEMCouncilMember16thCouncilDistrict
196,196,196,NewYorkCity_06222021_DEMCouncilMember17thCouncilDistrict.csv,[],no,1.0,,2,LOCAL,DP,R,Rafael Salamanca Jr.,Rafael Salamanca Jr.,Rafael Salamanca Jr.,Rafael Salamanca Jr.,,Rafael Salamanca Jr.,Rafael Salamanca Jr.,Rafael Salamanca Jr.,Rafael Salamanca Jr.,0.992993,0.31458578,0.0,,,NewYorkCity,06222021,DEMCouncilMember17thCouncilDistrict
197,197,197,NewYorkCity_06222021_DEMCouncilMember18thCouncilDistrict.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,0.58114177,,8,LOCAL,DP,R,Amanda Farias,William Rivera,Amanda Farias,Amanda Farias,,William Rivera,William Rivera,William Rivera,Amanda Farias,0.1941942,0.078463845,0.070734888,2.7819214,,NewYorkCity,06222021,DEMCouncilMember18thCouncilDistrict
198,198,198,NewYorkCity_06222021_DEMCouncilMember19thCouncilDistrict.csv,[],no,0.72241342,,6,LOCAL,DP,R,Tony Avella,Tony Avella,Tony Avella,Tony Avella,,Tony Avella,Tony Avella,Tony Avella,Tony Avella,0.14614615,0.11672536,0.14826339,3.0049505,,NewYorkCity,06222021,DEMCouncilMember19thCouncilDistrict
199,199,199,NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict.csv,[],no,0.64229131,,9,LOCAL,DP,R,Christopher Marte,Christopher Marte,Christopher Marte,Christopher Marte,,Christopher Marte,Christopher Marte,Christopher Marte,Christopher Marte,0.43443444,0.2303821,0.3052161,2.2444971,,NewYorkCity,06222021,DEMCouncilMember1stCouncilDistrict
200,200,200,NewYorkCity_06222021_DEMCouncilMember20thCouncilDistrict.csv,[],no,0.65717775,,8,LOCAL,DP,R,Sandra Ung,Sandra Ung,Sandra Ung,Sandra Ung,,Sandra Ung,Sandra Ung,Sandra Ung,Sandra Ung,0.2122122,0.0,0.0,3.5464358,,NewYorkCity,06222021,DEMCouncilMember20thCouncilDistrict
201,201,201,NewYorkCity_06222021_DEMCouncilMember21stCouncilDistrict.csv,[],no,0.73592633,,5,LOCAL,DP,R,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,0.1991992,0.10002326,0.0,1.6934533,,NewYorkCity,06222021,DEMCouncilMember21stCouncilDistrict
202,202,202,NewYorkCity_06222021_DEMCouncilMember22ndCouncilDistrict.csv,[],no,0.68795025,,6,LOCAL,DP,R,Tiffany Caban,Tiffany Caban,Tiffany Caban,Tiffany Caban,,Tiffany Caban,Tiffany Caban,Tiffany Caban,Tiffany Caban,0.44444445,0.0,0.0,0.82376438,,NewYorkCity,06222021,DEMCouncilMember22ndCouncilDistrict
203,203,203,NewYorkCity_06222021_DEMCouncilMember23rdCouncilDistrict.csv,[],no,0.65557706,,7,LOCAL,DP,R,Linda Lee,Linda Lee,Linda Lee,Linda Lee,,Linda Lee,Linda Lee,Linda Lee,Linda Lee,0.18118118,0.0,0.0,3.2558677,,NewYorkCity,06222021,DEMCouncilMember23rdCouncilDistrict
204,204,204,NewYorkCity_06222021_DEMCouncilMember24thCouncilDistrict.csv,[],no,0.7804296,,4,LOCAL,DP,R,James F. Gennaro,James F. Gennaro,James F. Gennaro,James F. Gennaro,,James F. Gennaro,James F. Gennaro,James F. Gennaro,James F. Gennaro,0.988989,0.0,0.0,1.1472192,,NewYorkCity,06222021,DEMCouncilMember24thCouncilDistrict
205,205,205,NewYorkCity_06222021_DEMCouncilMember25thCouncilDistrict.csv,"['IRV', 'Condorcet', 'Approval']",no,0.66188782,,8,LOCAL,DP,R,Shekar Krishnan,Yi Andy Chen,Shekar Krishnan,Yi Andy Chen,,Yi Andy Chen,Yi Andy Chen,Yi Andy Chen,Shekar Krishnan,0.34934935,0.074123628,0.10668697,2.8322339,,NewYorkCity,06222021,DEMCouncilMember25thCouncilDistrict
206,206,206,NewYorkCity_06222021_DEMCouncilMember26thCouncilDistrict.csv,[],no,0.47999999,,15,LOCAL,DP,R,Julie Won,Julie Won,Julie Won,Julie Won,,Julie Won,Julie Won,Julie Won,Julie Won,0.11711711,0.007974289,0.007974289,2.1054399,,NewYorkCity,06222021,DEMCouncilMember26thCouncilDistrict
207,207,207,NewYorkCity_06222021_DEMCouncilMember27thCouncilDistrict.csv,[],no,0.48863858,,12,LOCAL,DP,R,Nantasha M. Williams,Nantasha M. Williams,Nantasha M. Williams,Nantasha M. Williams,,Nantasha M. Williams,Nantasha M. Williams,Nantasha M. Williams,Nantasha M. Williams,0.22622623,0.015192161,0.009847187,1.9097545,,NewYorkCity,06222021,DEMCouncilMember27thCouncilDistrict
208,208,208,NewYorkCity_06222021_DEMCouncilMember28thCouncilDistrict.csv,[],no,0.89020389,,3,LOCAL,DP,R,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,0.98999,0.18755545,0.0,2.3077183,,NewYorkCity,06222021,DEMCouncilMember28thCouncilDistrict
209,209,209,NewYorkCity_06222021_DEMCouncilMember29thCouncilDistrict.csv,[],no,0.61665988,,9,LOCAL,DP,R,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,0.14014015,0.021507036,0.021507036,1.9828609,,NewYorkCity,06222021,DEMCouncilMember29thCouncilDistrict
210,210,210,NewYorkCity_06222021_DEMCouncilMember2ndCouncilDistrict.csv,[],no,1.0,,2,LOCAL,DP,R,Carlina Rivera,Carlina Rivera,Carlina Rivera,Carlina Rivera,,Carlina Rivera,Carlina Rivera,Carlina Rivera,Carlina Rivera,0.995996,0.04725723,0.0,,,NewYorkCity,06222021,DEMCouncilMember2ndCouncilDistrict
211,211,211,NewYorkCity_06222021_DEMCouncilMember30thCouncilDistrict.csv,[],no,1.0,,2,LOCAL,DP,R,Robert F. Holden,Robert F. Holden,Robert F. Holden,Robert F. Holden,,Robert F. Holden,Robert F. Holden,Robert F. Holden,Robert F. Holden,0.995996,0.35871559,0.0,,,NewYorkCity,06222021,DEMCouncilMember30thCouncilDistrict
212,212,212,NewYorkCity_06222021_DEMCouncilMember31stCouncilDistrict.csv,[],no,0.87961978,,3,LOCAL,DP,R,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,0.5095095,0.088421963,0.0,1.1596109,,NewYorkCity,06222021,DEMCouncilMember31stCouncilDistrict
213,213,213,NewYorkCity_06222021_DEMCouncilMember32ndCouncilDistrict.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,0.69044125,,6,LOCAL,DP,R,Felicia Singh,Michael G. Scala,Felicia Singh,Felicia Singh,,Michael G. Scala,Michael G. Scala,Michael G. Scala,Felicia Singh,0.47547546,0.33703339,0.32271838,3.2086916,,NewYorkCity,06222021,DEMCouncilMember32ndCouncilDistrict
214,214,214,NewYorkCity_06222021_DEMCouncilMember33rdCouncilDistrict.csv,[],no,0.70025361,,8,LOCAL,DP,R,Lincoln Restler,Lincoln Restler,Lincoln Restler,Lincoln Restler,,Lincoln Restler,Lincoln Restler,Lincoln Restler,Lincoln Restler,0.2902903,0.0,0.0,1.0076522,,NewYorkCity,06222021,DEMCouncilMember33rdCouncilDistrict
215,215,215,NewYorkCity_06222021_DEMCouncilMember34thCouncilDistrict.csv,[],no,0.82165295,,4,LOCAL,DP,R,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,0.25525525,0.0,0.0,0.64792055,,NewYorkCity,06222021,DEMCouncilMember34thCouncilDistrict
216,216,216,NewYorkCity_06222021_DEMCouncilMember35thCouncilDistrict.csv,[],no,0.73563612,,7,LOCAL,DP,R,Crystal Hudson,Crystal Hudson,Crystal Hudson,Crystal Hudson,,Crystal Hudson,Crystal Hudson,Crystal Hudson,Crystal Hudson,0.063063063,0.0436114,0.067642637,3.6888583,,NewYorkCity,06222021,DEMCouncilMember35thCouncilDistrict
217,217,217,NewYorkCity_06222021_DEMCouncilMember36thCouncilDistrict.csv,['Approval'],no,0.73489934,,5,LOCAL,DP,R,Chi A. Osse,Chi A. Osse,Chi A. Osse,Chi A. Osse,,Chi A. Osse,Chi A. Osse,Chi A. Osse,Tahirah A. Moore,0.21421422,0.22629173,0.22629173,2.3138943,,NewYorkCity,06222021,DEMCouncilMember36thCouncilDistrict
218,218,218,NewYorkCity_06222021_DEMCouncilMember37thCouncilDistrict.csv,[],no,0.7021687,,6,LOCAL,DP,R,Sandy Nurse,Sandy Nurse,Sandy Nurse,Sandy Nurse,,Sandy Nurse,Sandy Nurse,Sandy Nurse,Sandy Nurse,0.082082085,0.0,0.0,2.3136649,,NewYorkCity,06222021,DEMCouncilMember37thCouncilDistrict
219,219,219,NewYorkCity_06222021_DEMCouncilMember38thCouncilDistrict.csv,[],no,0.70643109,,6,LOCAL,DP,R,Alexa Aviles,Alexa Aviles,Alexa Aviles,Alexa Aviles,,Alexa Aviles,Alexa Aviles,Alexa Aviles,Alexa Aviles,0.3043043,0.0,0.0,3.5151813,,NewYorkCity,06222021,DEMCouncilMember38thCouncilDistrict
