,Unnamed: 0.1,Unnamed: 0,filename,null_gamma,null_gamma_recalculated,complete_gamma,gamma,choices,candidates,level,partisan,type,irv_winner,condorcet_winner,plurality_winner,approval_winner,median_voter_preference,median_voter_preference_position,median_voter_position,irv_median_voter_distance,condorcet_median_voter_distance,median_voter_preference_distance,bimodality,partisan2,diff,linearvotersfailure,mirror
177,153,433,Minneapolis_11022021_CityCouncilWard5.csv,0.768831169,0.715384615,0.66302521,0.82664233,3,7,LOCAL,NO,R,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,Kristel Porter,Victor Martinez,0.398530783,0.443535773,0.443535773,0.443535773,0.31215626,3.187958335,0,"['IRV', 'Condorcet']",yes,
178,145,236,Oakland_11022010_CityCouncilDistrict6.csv,0.8748,0.5722,0.663127273,0.82001865,3,3,LOCAL,NO,R,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,NANCY SIDEBOTHAM,0.53676842,0.443535773,0.443535773,0.443535773,0,4.943318238,0,[],no,
179,297,215,Minneapolis_11062009_PRBoardDistrict1.csv,0.855655656,0.55035035,0.664647994,0.92381769,3,3,LOCAL,NO,B,Liz Wielinski,Liz Wielinski,Liz Wielinski,Liz Wielinski,Bernie Kunza,0.532080439,0.443535773,0.556464227,0.556464227,0,4.904197535,0,[],no,
181,316,221,Minneapolis_11072017_PRBoardDistrict5.csv,0.8871,0.5933,0.66552901,0.93910891,3,3,LOCAL,NO,B,Steffanie Musich,Steffanie Musich,Steffanie Musich,Steffanie Musich,Steffanie Musich,0.498170265,0.443535773,0.054634492,0.054634492,0,2.961906328,0,[],no,
182,128,265,SanLeandro_11042014_CountyCouncilDistrict5.csv,0.8677,0.6283,0.667207416,0.80461258,3,3,LOCAL,NO,R,CORINA LOPEZ,CORINA LOPEZ,CORINA LOPEZ,CORINA LOPEZ,MIA OUSLEY,0.491320026,0.443535773,0.556464227,0.556464227,0.50867999,3.943641554,0,['Approval'],no,
183,284,211,Minneapolis_11022021_CityCouncilWard4.csv,0.877177177,0.547547548,0.668282176,0.9149524,3,3,LOCAL,NO,R,LaTrisha Vetaw,LaTrisha Vetaw,LaTrisha Vetaw,LaTrisha Vetaw,Phillipe M. Cunningham,0.631175354,0.443535773,0.556464227,0.556464227,0,3.913380159,0,[],no,
184,228,295,Berkeley_11062018_CityCouncilDistrict8.csv,0.824524525,0.655055055,0.669159954,0.88188618,3,4,LOCAL,NO,R,LORI DROSTE,LORI DROSTE,LORI DROSTE,LORI DROSTE,LORI DROSTE,0.411529303,0.443535773,0.032006471,0.032006471,0,2.777473498,0,[],no,
185,119,510,SanFrancisco_11022010_BoardofSupervisorsDistrict10.csv,0.7036,0.7027,0.670471014,0.79812181,3,21,LOCAL,NO,B,MALIA COHEN,MALIA COHEN,LYNETTE SWEET,MALIA COHEN,DIANE WESLEY SMITH,0.438004407,0.443535773,0.156484003,0.156484003,0.050306424,3.607508454,0,['Plurality'],no,
186,329,305,Minneapolis_11022021_CityCouncilWard7.csv,0.8712,0.7551,0.673739237,0.94974571,3,4,LOCAL,NO,R,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,Nick Kor,0.31446551,0.443535773,0.179926868,0.179926868,0,3.632047107,0,[],no,
187,348,197,Bloomington_11072023_SpecialCityCouncilAtLarge.csv,0.8781,0.5717,0.674398988,0.969042328,3,3,LOCAL,NO,R,Chao Moua,Chao Moua,Chao Moua,Chao Moua,Chao Moua,0.64731571,0.443535773,0.203779937,0.203779937,,4.942794334,,,,
191,273,190,Berkeley_11052024_CityCouncilD5.csv,0.8813,0.5767,0.675424414,0.907328332,5,3,LOCAL,NO,R,SHOSHANA O'KEEFE,SHOSHANA O'KEEFE,SHOSHANA O'KEEFE,SHOSHANA O'KEEFE,TODD ANDREW,0.338932654,0.443535773,0.443535773,0.443535773,,4.959642864,,,,
192,305,213,Minneapolis_11022021_ParkBoardDistrict3.csv,0.889389389,0.604504505,0.676361386,0.93116611,3,3,LOCAL,NO,B,Becky Alper,Becky Alper,Becky Alper,Becky Alper,AK Hassan,0.524633937,0.443535773,0.556464227,0.556464227,0,4.259614643,0,[],no,
193,149,423,SanFrancisco_11022004_BoardofSupervisorsDistrict9.csv,0.768268268,0.714214214,0.676877287,0.82237238,3,6,LOCAL,NO,B,Tom Ammiano,Tom Ammiano,Tom Ammiano,Tom Ammiano,Steve Zeltzer,0.533378481,0.443535773,0.155909944,0.155909944,0,3.908560471,0,[],no,
194,224,470,SanFrancisco_11072006_BoardofSupervisorsDistrict6.csv,0.758141858,0.700699301,0.678461538,0.88044143,3,8,LOCAL,NO,B,Chris Daly,Chris Daly,Chris Daly,Chris Daly,Davy Jones,0.400415742,0.443535773,0.29161122,0.29161122,0,4.761022833,0,[],no,
195,186,337,Oakland_11042014_SchoolDirectorDistrict4.csv,0.8061,0.6932,0.680838535,0.85415119,3,4,LOCAL,NO,B,NINA SENN,NINA SENN,NINA SENN,NINA SENN,SALEEM SHAKIR-GILMORE,0.450164937,0.443535773,0.443535773,0.443535773,0.25477189,3.511587905,0,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
196,96,482,Oakland_11022010_Mayor.csv,0.711311311,0.673673674,0.680997279,0.76874489,3,10,LOCAL,NO,E,JEAN QUAN,JEAN QUAN,DON PERATA,JEAN QUAN,TERENCE CANDELL,0.402022743,0.443535773,0.278934504,0.278934504,0.06962052,3.902977615,0,[],no,
197,355,210,Minneapolis_11022021_CityCouncilWard12.csv,0.9346,0.5148,0.681889764,0.97845954,3,3,LOCAL,NO,R,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,0.515339298,0.443535773,0.071803525,0.071803525,0,3.52635817,0,[],no,
201,155,261,SanFrancisco_11062018_BoardofSupervisorsDistrict6.csv,0.8815,0.6039,0.684661774,0.82887787,3,3,LOCAL,NO,B,MATT HANEY,MATT HANEY,MATT HANEY,MATT HANEY,CHRISTINE JOHNSON,0.558491312,0.443535773,0.443535773,0.443535773,0,4.173901843,0,['Approval'],no,
202,234,493,Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,0.73966034,0.702097902,0.684693543,0.88471991,3,12,LOCAL,NO,R,Jamal Osman,Jamal Osman,Jamal Osman,Jamal Osman,Nebiha Mohammed,0.455938951,0.443535773,0.023172412,0.023172412,0.081753582,2.32953438,0,[],no,
203,176,502,SanFrancisco_11022010_BoardofSupervisorsDistrict6.csv,0.709181637,0.693712575,0.685110743,0.84653467,3,14,LOCAL,NO,B,JANE KIM,JANE KIM,JANE KIM,JANE KIM,GEORGE DAVIS,0.448769523,0.443535773,0.067141657,0.067141657,0,2.942948098,0,[],no,
205,65,269,SantaFe_03062018_CityCouncilDistrict4.csv,0.871228771,0.639260739,0.685523644,0.71303284,3,3,LOCAL,NO,R,JoAnne Vigil Coppler,JoAnne Vigil Coppler,JoAnne Vigil Coppler,JoAnne Vigil Coppler,Eric John Holmes,0.490610803,0.443535773,0.556464227,0.556464227,0.50938922,3.511543846,0,"['IRV', 'Condorcet', 'Approval']",yes,
207,142,391,Oakland_11082016_CouncilAtLrg.csv,0.7906,0.7222,0.686262872,0.81871897,3,5,LOCAL,NO,R,REBECCA KAPLAN,REBECCA KAPLAN,REBECCA KAPLAN,REBECCA KAPLAN,FRANCIS ''MATT'' HUMMEL,0.445815523,0.443535773,0.245440011,0.245440011,0,3.586728638,0,[],no,
208,184,358,SanLeandro_11042014_CountyCouncilDistrict1.csv,0.8267,0.6658,0.686609377,0.8538695,3,4,LOCAL,NO,R,DEBORAH COX,DEBORAH COX,DEBORAH COX,DEBORAH COX,DEBORAH COX,0.371303863,0.443535773,0.07223191,0.07223191,0,3.143775571,0,[],no,
209,231,354,SanFrancisco_11082011_Sheriff.csv,0.8296,0.6823,0.688481369,0.88416076,3,4,LOCAL,NO,O,ROSS MIRKARIMI,ROSS MIRKARIMI,ROSS MIRKARIMI,ROSS MIRKARIMI,PAUL MIYAMOTO,0.508994963,0.443535773,0.556464227,0.556464227,0.31141996,3.312434516,0,"['IRV', 'Condorcet', 'Approval']",yes,
210,94,511,SanFrancisco_11022004_BoardofSupervisorsDistrict5.csv,0.728215354,0.70109671,0.688617915,0.76578653,3,22,LOCAL,NO,B,Ross Mirkarimi,Ross Mirkarimi,Ross Mirkarimi,Ross Mirkarimi,Rob Anderson,0.438540892,0.443535773,0.050781517,0.050781517,0.01168191,3.51264515,0,[],no,
211,124,293,Berkeley_11042014_CityCouncilDistrict8.csv,0.803096903,0.659240759,0.689786059,0.80145758,3,4,LOCAL,NO,R,LORI DROSTE,LORI DROSTE,LORI DROSTE,LORI DROSTE,GEORGE BEIER,0.352333361,0.443535773,0.207566907,0.207566907,0.29876933,3.55465443,0,[],no,
212,277,289,Berkeley_11022010_CityCouncilDistrict1.csv,0.8775,0.754,0.690258752,0.90872318,3,4,LOCAL,NO,R,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,JASPER KINGETER,0.444954851,0.443535773,0.15191054,0.15191054,0,4.213677828,0,[],no,
213,208,208,Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,0.8905,0.6112,0.69056457,0.86415285,3,3,FEDERAL,NO,R,"Crafts, Dale John","Crafts, Dale John","Crafts, Dale John","Crafts, Dale John","Crafts, Dale John",0.491142397,0.443535773,0.047606623,0.047606623,0,2.884512901,,[],no,
214,107,475,SanFrancisco_11042008_BoardofSupervisorsDistrict11.csv,0.7702,0.7268,0.691797896,0.78004187,3,9,LOCAL,NO,B,JOHN AVALOS,JOHN AVALOS,JOHN AVALOS,JOHN AVALOS,MYRNA LIM,0.124112366,0.443535773,0.443018584,0.443018584,0.000195303,7.272110938,0,"['IRV', 'Condorcet', 'Approval']",yes,
216,190,431,Berkeley_11062012_Mayor.csv,0.791391391,0.725425425,0.692975101,0.85551387,3,7,LOCAL,NO,E,TOM BATES,TOM BATES,TOM BATES,TOM BATES,KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,0.775323005,0.443535773,0.525774115,0.525774115,0,7.87622836,0,[],no,
217,157,401,SanFrancisco_11082016_BoardofSupervisorsDistrict7.csv,0.7809,0.7237,0.693643972,0.83278167,3,5,LOCAL,NO,B,NORMAN YEE,NORMAN YEE,NORMAN YEE,NORMAN YEE,BEN MATRANGA,0.431095948,0.443535773,0.234434893,0.234434893,0.24687472,3.586472177,0,[],no,
218,333,368,Minneapolis_11022021_CityCouncilWard13.csv,0.813813814,0.723323323,0.694729136,0.95272529,3,5,LOCAL,NO,R,Linea Palmisano,Linea Palmisano,Linea Palmisano,Linea Palmisano,Bob Reuer,0.509748063,0.443535773,0.264080451,0.264080451,0,4.774712204,0,[],no,
219,167,390,Oakland_11062018_CityCouncilDistrict6.csv,0.7787,0.682,0.695945362,0.84193766,3,5,LOCAL,NO,R,LOREN TAYLOR,LOREN TAYLOR,LOREN TAYLOR,LOREN TAYLOR,MYA WHITAKER,0.434474936,0.443535773,0.112612297,0.112612297,0,3.543402452,0,[],no,
220,114,468,SanFrancisco_11062012_BoardofSupervisorsDistrict5.csv,0.769,0.7138,0.696628738,0.79234958,3,8,LOCAL,NO,B,LONDON BREED,LONDON BREED,LONDON BREED,LONDON BREED,LONDON BREED,0.448693525,0.443535773,0.005157752,0.005157752,0.049390841,2.544660493,0,[],no,
221,137,474,SanFrancisco_11042008_BoardofSupervisorsDistrict1.csv,0.748848849,0.696696697,0.696717383,0.81319368,3,9,LOCAL,NO,B,ERIC MAR,ERIC MAR,ERIC MAR,SUE LEE,FIDEL CHRYS GAKUBA,0.497863833,0.443535773,0.536060241,0.536060241,0.18077543,5.10726714,0,"['IRV', 'Condorcet']",no,
222,177,297,Boulder_11072023_Mayor.csv,0.612412412,0.462862863,0.697136631,0.848168493,4,4,LOCAL,NO,E,Brockett,Brockett,Yates,Brockett,Yates,0.508245735,0.443535773,0.382993335,0.382993335,,3.350145905,,,,
223,140,448,SanFrancisco_11052004_BoardofSupervisorsDistrict1.csv,0.776076076,0.724624625,0.697230614,0.816966,3,7,LOCAL,NO,B,Jake McGoldrick,Jake McGoldrick,Jake McGoldrick,Jake McGoldrick,David Heller,0.565555455,0.443535773,0.254870608,0.254870608,0,4.562215311,0,[],no,
225,319,326,Minneapolis_11072023_CityCouncilWard6.csv,0.8314,0.7019,0.698698699,0.941858219,3,4,LOCAL,NO,R,Jamal Osman,Jamal Osman,Jamal Osman,Jamal Osman,Guy T Gaskin,0,0.443535773,0.513979672,0.513979672,,9.08436756,,,,
227,191,344,SanFrancisco_11022010_BoardofSupervisorsDistrict8.csv,0.8287,0.6891,0.701161,0.85572112,3,4,LOCAL,NO,B,SCOTT WIENER,SCOTT WIENER,SCOTT WIENER,SCOTT WIENER,REBECCA PROZAN,0.508715592,0.443535773,0.22606993,0.22606993,0,3.387211739,0,[],no,
230,172,427,SanFrancisco_11062018_BoardofSupervisorsDistrict10.csv,0.744755245,0.659440559,0.704092012,0.84537321,3,6,LOCAL,NO,B,SHAMANN WALTON,SHAMANN WALTON,SHAMANN WALTON,SHAMANN WALTON,TONY KELLY,0.495500777,0.443535773,0.250519949,0.250519949,0,3.091669905,0,[],no,
231,138,400,SanFrancisco_11082016_BoardofSupervisorsDistrict11.csv,0.7732,0.6725,0.704235912,0.8141343,3,5,LOCAL,NO,B,AHSHA SAFAI,AHSHA SAFAI,AHSHA SAFAI,KIM ALVARENGA,MAGDALENA DE GUZMAN,0.483953868,0.443535773,0.443535773,0.443535773,0.21164581,3.881416784,0,"['IRV', 'Condorcet']",yes,
232,225,372,Minneapolis_11062009_Ward1CityCouncil.csv,0.776823177,0.631468531,0.704768583,0.88054436,3,5,LOCAL,NO,R,Kevin Reich,Kevin Reich,Kevin Reich,Kevin Reich,Thomas Alessi,0.329817539,0.443535773,0.204698376,0.204698376,0,3.593402438,0,[],no,
233,171,307,Minneapolis_11052013_Ward5CityCouncil.csv,0.8281,0.6827,0.704883227,0.84450173,3,4,LOCAL,NO,R,BLONG YANG,BLONG YANG,BLONG YANG,BLONG YANG,BRETT BUCKNER,0.409661994,0.443535773,0.198696902,0.198696902,0,4.061637962,0,[],no,
234,185,259,SanFrancisco_11042008_BoardofSupervisorsDistrict5.csv,0.8811,0.5284,0.705205262,0.85405087,3,3,LOCAL,NO,B,ROSS MIRKARIMI,ROSS MIRKARIMI,ROSS MIRKARIMI,ROSS MIRKARIMI,OWEN P. O''DONNELL,0.523647653,0.443535773,0.443535773,0.443535773,0,4.571305168,0,[],no,
235,168,296,Berkeley_11082016_CityCouncilDistrict3.csv,0.8536,0.7126,0.706251635,0.84234172,3,4,LOCAL,NO,R,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,0.511485152,0.443535773,0.067949378,0.067949378,0,2.910951005,0,[],no,
236,245,328,Minnetonka_11072023_CityCouncilWard1.csv,0.8665,0.7572,0.706927176,0.890764647,3,4,LOCAL,NO,R,Patsy Foster-Bolton,Patsy Foster-Bolton,Patsy Foster-Bolton,Patsy Foster-Bolton,Reed Gilkey,0,0.443535773,0.556464227,0.556464227,,7.427715079,,,,
237,130,418,Oakland_11062012_CityCouncilDistrict3.csv,0.758558559,0.67997998,0.707477459,0.80553412,3,6,LOCAL,NO,R,LYNETTE GIBSON-MCELHANEY,LYNETTE GIBSON-MCELHANEY,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY,LYNETTE GIBSON-MCELHANEY,0.45987322,0.443535773,0.016337447,0.016337447,0,2.898351667,0,['Plurality'],no,
238,117,513,Minneapolis_11052013_Mayor.csv,0.704513541,0.714643932,0.70780542,0.79750055,3,35,LOCAL,NO,E,BETSY HODGES,BETSY HODGES,BETSY HODGES,BETSY HODGES,JAMES EVERETT,0.498673919,0.443535773,0.056263728,0.056263728,5.31E-05,2.959695132,0,[],no,
241,180,406,Minneapolis_11062009_Ward6CityCouncil.csv,0.776523477,0.717982018,0.71069869,0.85217839,3,6,LOCAL,NO,R,Robert Lilligren,Robert Lilligren,Robert Lilligren,Robert Lilligren,Robert Lilligren,0.476890801,0.443535773,0.033355028,0.033355028,0,2.809559466,0,[],no,
242,262,458,Minneapolis_11022021_CityCouncilWard9.csv,0.7441,0.7059,0.711166049,0.89817584,3,8,LOCAL,NO,R,Jason Chavez,Jason Chavez,Jason Chavez,Jason Chavez,Jason Chavez,0.459043138,0.443535773,0.015507365,0.015507365,0,3.401340764,0,[],no,
243,132,447,SanFrancisco_11042008_BoardofSupervisorsDistrict9.csv,0.7678,0.7117,0.711502973,0.80688435,3,7,LOCAL,NO,B,DAVID CAMPOS,DAVID CAMPOS,DAVID CAMPOS,DAVID CAMPOS,EVA ROYALE,0.425606569,0.443535773,0.122487187,0.122487187,0,4.115744753,0,[],no,
244,194,428,SanFrancisco_11072006_BoardofSupervisorsDistrict4.csv,0.7707,0.7104,0.712607357,0.85695541,3,6,LOCAL,NO,B,Ed Jew,Ed Jew,Ed Jew,Ed Jew,Doug Chan,0.471304695,0.443535773,0.116564617,0.116564617,0.1263085,2.974002504,0,[],no,
246,113,500,SanFrancisco_11022004_BoardofSupervisorsDistrict7.csv,0.723123123,0.686286286,0.714091834,0.78712982,3,13,LOCAL,NO,B,Sean R. Elsbernd,Sean R. Elsbernd,Sean R. Elsbernd,Sean R. Elsbernd,Christine Linnenbach,0.487229578,0.443535773,0.131077254,0.131077254,0,3.195764257,0,[],no,
247,327,246,Oakland_11062018_CityCouncilDistrict2.csv,0.8762,0.5309,0.716119157,0.9486838,3,3,LOCAL,NO,R,NIKKI FORTUNATO BAS,NIKKI FORTUNATO BAS,NIKKI FORTUNATO BAS,NIKKI FORTUNATO BAS,NIKKI FORTUNATO BAS,0.400752188,0.443535773,0.042783585,0.042783585,0,2.966424595,0,[],no,
248,229,195,Berkeley_11082016_CityCouncilDistrict6.csv,0.8856,0.5598,0.717412295,0.88238448,3,3,LOCAL,NO,R,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,FRED DODSWORTH,0.476339512,0.443535773,0.556464227,0.556464227,0,3.867147039,0,[],no,
249,276,219,Minneapolis_11072017_PRBoardDistrict1.csv,0.8773,0.6012,0.71800102,0.90780044,3,3,LOCAL,NO,B,Chris Meyer,Chris Meyer,Chris Meyer,Chris Meyer,Chris Meyer,0.582171389,0.443535773,0.138635616,0.138635616,0,3.370196276,0,[],no,
251,189,315,Minneapolis_11072017_Ward10CityCouncil.csv,0.849,0.7173,0.719046398,0.85546619,3,4,LOCAL,NO,R,Lisa Bender,Lisa Bender,Lisa Bender,Lisa Bender,David Schorn,0.601983062,0.443535773,0.556464227,0.556464227,0,6.005066096,0,[],no,
252,136,442,Oakland_11062012_CityCouncilDistrict1.csv,0.7695,0.7061,0.719328194,0.8123908,3,7,LOCAL,NO,R,DAN KALB,DAN KALB,DAN KALB,DAN KALB,AMY LEMLEY,0.45670722,0.443535773,0.138332226,0.138332226,0.12516078,2.510361259,0,"['IRV', 'Condorcet', 'Approval']",yes,
253,210,323,Minneapolis_11072023_CityCouncilWard10.csv,0.872027972,0.751148851,0.72024136,0.864573422,3,4,LOCAL,NO,R,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,Nasri Warsame,0.51003341,0.443535773,0.443535773,0.443535773,,3.729403441,,,,
254,199,294,Berkeley_11062018_CityCouncilDistrict1.csv,0.8624,0.7534,0.72057596,0.85960466,3,4,LOCAL,NO,R,RASHI KESARWANI,RASHI KESARWANI,RASHI KESARWANI,RASHI KESARWANI,MARGO SCHUELER,0.416094721,0.443535773,0.193797579,0.193797579,0,4.237668368,0,[],no,
255,156,434,Minneapolis_11022021_ParkBoardAtLarge.csv,0.757842158,0.694605395,0.720719201,0.83058834,3,7,LOCAL,NO,B,Meg Forney,Meg Forney,Meg Forney,Meg Forney,Charles Rucker,0.457265735,0.443535773,0.302357446,0.302357446,0.20878974,3.663336819,0,[],no,
256,146,469,SanFrancisco_11062018_BoardofSupervisorsDistrict4.csv,0.7734,0.73,0.721630491,0.82062167,3,8,LOCAL,NO,B,GORDON MAR,GORDON MAR,GORDON MAR,GORDON MAR,ARTHUR TOM,0.427025064,0.443535773,0.104569297,0.104569297,0,2.600712851,0,[],no,
257,178,441,Oakland_11022010_CityCouncilDistrict4.csv,0.7643,0.7085,0.722305389,0.84913939,3,7,LOCAL,NO,R,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,0.453556283,0.443535773,0.010020509,0.010020509,0,2.674188839,0,[],no,
258,296,353,SanFrancisco_11082005_Treasurer.csv,0.874525475,0.747452547,0.723417776,0.92344654,3,4,LOCAL,NO,O,Jose Cisneros,Jose Cisneros,Jose Cisneros,Jose Cisneros,Calvin Louie,0.349454055,0.443535773,0.112422224,0.112422224,0,2.90710447,0,[],no,
259,193,351,SanFrancisco_11062018_BoardofSupervisorsDistrict2.csv,0.8107,0.6651,0.724864278,0.85667419,3,4,LOCAL,NO,B,CATHERINE STEFANI,CATHERINE STEFANI,CATHERINE STEFANI,CATHERINE STEFANI,SCHUYLER HUDAK,0.519213729,0.443535773,0.242132442,0.242132442,0,3.893991262,0,[],no,
260,309,490,Minneapolis_11062009_Mayor.csv,0.735335335,0.732632633,0.725178199,0.93491048,3,11,LOCAL,NO,E,R.T. Rybak,R.T. Rybak,R.T. Rybak,R.T. Rybak,Joey Lombard,0.320754524,0.443535773,0.303338981,0.303338981,0,8.259803593,0,[],no,
261,200,222,Minneapolis_11072017_Ward11CityCouncil.csv,0.8731,0.651,0.725220383,0.86008322,3,3,LOCAL,NO,R,Jeremy Schroeder,Jeremy Schroeder,Jeremy Schroeder,Jeremy Schroeder,Jeremy Schroeder,0.451139316,0.443535773,0.007603543,0.007603543,0,3.646675615,0,[],no,
262,192,274,TakomaPark_11082022_CityCouncilWard5.csv,0.863,0.5944,0.725490196,0.85626286,4,3,LOCAL,NO,R,Cara Honzak,Cara Honzak,Cara Honzak,Cara Honzak,A. J. Campbell,0.542703245,0.443535773,0.556464227,0.556464227,0.45729676,3.213260716,0,['Approval'],no,
263,268,457,Berkeley_11082016_Mayor.csv,0.774,0.7157,0.72636151,0.90315616,3,8,LOCAL,NO,E,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,BEN GOULD,0.480584617,0.443535773,0.173034438,0.173034438,0,3.498237164,0,[],no,
264,247,306,Minneapolis_11022021_ParkBoardDistrict6.csv,0.802602603,0.676476476,0.729194188,0.89107335,3,4,LOCAL,NO,B,Cathy Abene,Cathy Abene,Risa Hustad,Cathy Abene,Barb Schlaefer,0.429824916,0.443535773,0.159497302,0.159497302,0,3.54363271,0,['Plurality'],no,
266,209,194,Berkeley_11082016_CityCouncilDistrict2.csv,0.868668669,0.657757758,0.729910714,0.86450166,3,3,LOCAL,NO,R,CHERYL DAVILA,CHERYL DAVILA,DARRYL MOORE,CHERYL DAVILA,CHERYL DAVILA,0.55650634,0.443535773,0.112970567,0.112970567,0,3.989199618,0,['Plurality'],no,
267,241,276,Westbrook_11052024_Mayor.csv,0.8865,0.6152,0.730561971,0.890167364,3,3,LOCAL,NO,E,"Morse, David","Morse, David","Morse, David","Morse, David","Adams, Lynda",0.67054281,0.443535773,0.556464227,0.556464227,,4.309059893,,,,
268,95,506,SanFrancisco_11082011_Mayor.csv,0.706706707,0.705605606,0.731372175,0.76776606,3,16,LOCAL,NO,E,ED LEE,ED LEE,ED LEE,ED LEE,CESAR ASCARRUNZ,0.472382495,0.443535773,0.241715034,0.241715034,0.011017184,5.293791046,0,[],no,
269,265,497,SanFrancisco_11062007_Mayor.csv,0.74025974,0.728071928,0.731804957,0.89966899,3,12,LOCAL,NO,E,Gavin Newsom,Gavin Newsom,Gavin Newsom,Gavin Newsom,Ahimsa Porter Sumchai,0.430052273,0.443535773,0.101574022,0.101574022,0,3.71978953,0,[],no,
270,339,308,Minneapolis_11062009_PRBoardDistrict6.csv,0.8151,0.6655,0.731963688,0.95493329,3,4,LOCAL,NO,B,Brad Bourn,Brad Bourn,Brad Bourn,Brad Bourn,Brad Bourn,0.373535975,0.443535773,0.069999798,0.069999798,0,2.454823743,0,[],no,
272,160,343,SanFrancisco_11022004_BoardofSupervisorsDistrict3.csv,0.8553,0.7225,0.734106583,0.83628643,3,4,LOCAL,NO,B,Arron Peskin,Arron Peskin,Arron Peskin,Arron Peskin,Brian Murphy 0'flynn,0.397551823,0.443535773,0.556464227,0.556464227,0,4.236207399,0,[],no,
273,123,275,Vineyard_11022021_Mayor.csv,0.8952,0.5336,0.734375,0.80091089,3,3,LOCAL,NO,E,JULIE FULLMER,JULIE FULLMER,JULIE FULLMER,JULIE FULLMER,MARC BRIMHALL,0.523944079,0.443535773,0.443535773,0.443535773,0,4.913127446,0,[],no,
274,134,476,SanFrancisco_11042008_BoardofSupervisorsDistrict3.csv,0.751448551,0.707492507,0.734806046,0.81135118,3,9,LOCAL,NO,B,DAVID CHIU,DAVID CHIU,DAVID CHIU,DAVID CHIU,TONY GANTNER,0.409995375,0.443535773,0.268664055,0.268664055,0,2.807890924,0,[],no,
275,206,290,Berkeley_11022010_CityCouncilDistrict4.csv,0.8508,0.6131,0.735067046,0.86288118,3,4,LOCAL,NO,R,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,BERNT RAINER WAHL,0.391853136,0.443535773,0.556464227,0.556464227,0,3.713023423,0,[],no,
276,126,395,SanFrancisco_11022004_BoardofSupervisorsDistrict2.csv,0.7653,0.6346,0.735419855,0.80326492,3,5,LOCAL,NO,B,Michela Alioto-pier,Michela Alioto-pier,Michela Alioto-pier,Michela Alioto-pier,Jay R. Shah,0.373621633,0.443535773,0.556464227,0.556464227,0,3.843529611,0,[],no,
277,101,467,SanFrancisco_11022004_BoardofSupervisorsDistrict11.csv,0.7524,0.7059,0.735590119,0.77463758,3,8,LOCAL,NO,B,Gerardo Sandoval,Gerardo Sandoval,Gerardo Sandoval,Gerardo Sandoval,Myrna Viray Lim,0.42143233,0.443535773,0.159447185,0.159447185,0.036101814,3.519689404,0,[],no,
278,112,508,Minneapolis_11072017_Mayor.csv,,0.7042,0.735806813,0.784172,3,18,LOCAL,NO,E,Jacob Frey,Jacob Frey,Jacob Frey,Jacob Frey,Nekima Levy-Pounds,0.454730216,0.443535773,0.041406001,0.041406001,1.21E-05,2.907962933,0,[],no,
279,129,443,Oakland_11062018_CityCouncilDistrict4.csv,0.7424,0.6873,0.736373749,0.80497748,3,7,LOCAL,NO,R,SHENG THAO,SHENG THAO,SHENG THAO,SHENG THAO,PAM HARRIS,0.441411066,0.443535773,0.104730514,0.104730514,0,3.668548114,0,"['IRV', 'Condorcet', 'Approval']",no,
280,321,309,Minneapolis_11062009_Ward10CityCouncil.csv,0.848951049,0.688311688,0.737394958,0.94404334,3,4,LOCAL,NO,R,Meg Tuthill,Meg Tuthill,Meg Tuthill,Meg Tuthill,Meg Tuthill,0.365904051,0.443535773,0.077631722,0.077631722,0,3.520852025,0,[],no,
282,286,371,Minneapolis_11062009_PRBoardDistrict5.csv,0.805005005,0.712312312,0.739078156,0.91581374,3,5,LOCAL,NO,B,Carol Kummer,Carol Kummer,Carol Kummer,Carol Kummer,Carol Kummer,0.389895314,0.443535773,0.053640459,0.053640459,0.15928569,3.599632086,0,['Plurality'],no,
283,332,220,Minneapolis_11072017_PRBoardDistrict3.csv,0.8823,0.5717,0.743456732,0.95242339,3,3,LOCAL,NO,B,AK Hassan,AK Hassan,AK Hassan,AK Hassan,AK Hassan,0.584183378,0.443535773,0.140647604,0.140647604,0,3.284925243,0,[],no,
